Disaster Date,Province,Affected People,Affected Households,Deaths,Injured,Housing Damage,Business Damage,Agriculture Damage,Total Damage
28/12/2023,Narathiwat,0,0,0,0,0,0,0,0
28/5/2023,Chiang Mai,0,3627,0,0,0,0,0,3627
28/6/2023,Chiang Mai,3,1,0,0,0,0,0,4
28/7/2023,Sakon Nakhon,8610,2870,0,0,0,0,24211,35691
28/7/2023,Nong Khai,0,0,0,0,0,0,0,0
28/7/2023,Chiang Mai,5888,4888,0,0,0,0,60,10836
28/8/2023,Chiang Mai,5534,1908,0,0,0,0,0,7442
28/9/2023,Kalasin,4808,4704,0,0,355,0,20675,30542
28/9/2023,Kamphaeng Phet,6,2,0,0,1,0,5000,5009
28/9/2023,Khon Kaen,3,1,0,0,0,0,208,212
28/9/2023,Chanthaburi,1470,490,1,0,11,0,0,1972
28/9/2023,Chachoengsao,36,12,0,0,500,0,0,548
28/9/2023,Chaiyaphum,0,0,0,0,0,0,0,0
28/9/2023,Trat,200,71,0,0,0,0,0,271
28/9/2023,dry,0,0,0,0,0,0,0,0
28/9/2023,Nakhon Nayok,0,0,0,0,0,0,0,0
28/9/2023,Nakhon Pathom,639,222,0,0,169,0,5,1035
28/9/2023,Nakhon Ratchasima,21,7,0,0,1315,0,0,1343
28/9/2023,Prachin Buri,100,48,0,0,135,0,370,653
28/9/2023,Phichit,0,0,0,0,0,0,0,0
28/9/2023,Maha Sarakham,63,21,0,0,0,0,1849,1933
28/9/2023,Mukdahan,9,3,0,0,0,0,14,26
28/9/2023,Roi Et,58,20,0,0,0,0,0,78
28/9/2023,Lop Buri,0,0,0,0,0,0,0,0
28/9/2023,Lampang,2892,964,0,0,205,0,440,4501
28/9/2023,Lamphun,0,0,0,0,0,0,0,0
28/9/2023,Sa Kaeo,530,210,0,0,10,0,0,750
28/9/2023,Sukhothai,6031,2294,0,0,0,0,22932,31257
28/9/2023,Nong Bua Lamphu,3,1,0,0,0,0,700,704
28/9/2023,Uttaradit,3600,1200,0,0,0,0,2000,6800
28/9/2023,Uthai Thani,0,0,0,0,0,0,0,0
28/9/2023,Ubon Ratchathani,0,0,0,0,0,0,0,0
28/9/2023,Chiang Rai,552,184,0,0,184,0,0,920
28/9/2023,Chiang Mai,6608,2202,0,0,4,0,90,8904
28/9/2023,Phetchabun,15,5,0,0,31,0,19,70
28/9/2023,at all,4536,1227,0,0,1145,0,1185,8093
29/10/2023,Kanchanaburi,6,2,0,0,7,0,120,135
29/10/2023,Kamphaeng Phet,6,2,0,0,6,0,655,669
29/10/2023,dry,3,1,0,0,0,0,0,4
29/10/2023,Nakhon Pathom,6,2,0,0,0,0,0,8
29/10/2023,Chiang Mai,1196,470,0,0,2,0,512,2180
29/11/2023,Trang,0,0,0,0,0,0,0,0
29/11/2023,Nakhon Si Thammarat,410,85,0,0,0,0,0,495
29/11/2023,Pattani,213,71,1,0,7582,0,0,7867
29/11/2023,Phatthalung,0,0,0,0,0,0,0,0
29/6/2023,Udon Thani,0,0,0,0,0,0,0,0
29/7/2023,Nakhon Phanom,4656,1552,0,0,0,0,6364,12572
29/7/2023,Nan,0,0,0,0,0,0,0,0
29/7/2023,Ubon Ratchathani,0,0,0,0,0,0,0,0
29/7/2023,Chiang Mai,7901,5711,0,0,0,0,0,13612
29/8/2023,Kalasin,2500,905,0,0,0,0,0,3405
29/8/2023,Phangnga,60,20,0,0,427,0,0,507
29/9/2023,Kamphaeng Phet,3,1,0,0,0,0,4,8
29/9/2023,Chanthaburi,73,6,0,0,0,0,0,79
29/9/2023,dry,0,0,0,0,0,0,0,0
29/9/2023,Nakhon Nayok,0,0,0,0,0,0,0,0
29/9/2023,Nakhon Pathom,150,50,0,0,0,0,0,200
29/9/2023,Prachin Buri,165,55,0,0,32,0,0,252
29/9/2023,Phichit,0,0,0,0,0,0,0,0
29/9/2023,Yala,1050,350,0,0,0,0,0,1400
29/9/2023,Lampang,16950,5650,0,0,5492,1,2416,30509
29/9/2023,Lamphun,0,0,0,0,0,0,0,0
29/9/2023,Sa Kaeo,200,1,0,0,0,0,0,201
29/9/2023,Udon Thani,0,0,0,0,0,0,0,0
29/9/2023,Chiang Mai,1293,366,0,0,75,0,70,1804
29/9/2023,Phetchabun,75,25,0,0,30,0,2552,2682
29/9/2023,at all,61,25,0,0,59,0,29,174
29/9/2023,spread,1905,635,0,0,70,0,14,2624
3/10/2023,Kalasin,212,133,0,0,0,0,358,703
3/10/2023,Khon Kaen,3,1,0,0,0,0,1656,1660
3/10/2023,Chanthaburi,9,3,0,0,3,0,5,20
3/10/2023,dry,0,0,0,0,0,0,0,0
3/10/2023,Nakhon Pathom,1081,411,0,0,100,0,70,1662
3/10/2023,Maha Sarakham,3,1,0,0,0,0,1429,1433
3/10/2023,Si Sa Ket,0,0,0,0,0,0,0,0
3/10/2023,Sakon Nakhon,324,108,0,0,0,0,2195,2627
3/10/2023,Samut Prakan,6285,2095,0,0,0,0,0,8380
3/10/2023,Sa Kaeo,396,132,0,0,5,0,1428,1961
3/10/2023,Sukhothai,1049,468,0,0,0,0,2512,4029
3/10/2023,Ubon Ratchathani,0,0,0,0,0,0,0,0
3/10/2023,Ang Thong,18,6,0,0,0,0,2570,2594
3/11/2023,Sa Kaeo,48,16,0,0,0,0,116,180
3/12/2023,Trang,0,0,0,0,0,0,0,0
3/12/2023,Nakhon Si Thammarat,600,155,0,0,0,0,0,755
3/12/2023,Narathiwat,2175,465,0,0,425,0,0,3065
3/12/2023,Yala,3,1,0,1,81,0,0,86
3/7/2023,Kalasin,1200,500,0,0,6,0,1589,3295
3/8/2023,Kalasin,254,55,0,0,0,0,0,309
3/8/2023,Nakhon Phanom,5508,1836,0,0,0,0,16053,23397
